BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_23,eth2_10,eth2_30,eth2_21,eth2_14,eth2_81,eth2_34,eth2_32,eth2_12,eth2_29,eth2_61,eth2_35,eth2_85,eth2_33,eth2_15,eth2_66,eth2_55,eth2_19,eth2_38,eth2_26,eth2_13,eth2_59,eth2_unk
130630403082,947,595,268,84,0,0,181,129,533,77,6,21,181,478,129,55,2,13,1,54,1,3,1,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,21
130630403083,458,235,178,45,0,0,117,81,193,44,5,18,117,173,81,20,3,12,2,27,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18
130630403084,919,747,133,39,0,0,112,61,721,11,2,12,112,663,61,58,2,2,0,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12
130630403091,377,253,105,19,0,0,51,69,235,13,1,8,51,209,69,26,1,1,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8
130630403092,813,639,144,30,0,0,115,61,603,15,4,15,115,540,61,63,0,3,1,12,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15
130630403093,738,662,64,12,0,0,49,23,634,18,2,12,49,566,23,68,3,3,1,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12
130630403101,947,697,200,50,0,0,131,103,664,30,2,17,131,601,103,63,0,9,0,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
130630403102,780,611,142,27,0,0,119,64,575,8,5,9,119,526,63,49,0,3,1,4,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9
130630403103,520,299,176,45,0,0,85,135,258,34,3,5,85,239,135,19,0,3,1,25,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
130630404071,985,498,359,128,0,0,231,163,391,154,7,39,231,352,163,39,5,27,3,109,6,1,1,0,1,2,0,0,0,0,3,0,0,1,0,0,2,0,39
