BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_lib,party_cnt,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_81,eth2_23,eth2_10,eth2_30,eth2_21,eth2_34,eth2_14,eth2_12,eth2_35,eth2_32,eth2_61,eth2_66,eth2_55,eth2_29,eth2_85,eth2_15,eth2_33,eth2_38,eth2_26,eth2_59,eth2_19,eth2_unk
371759604013,796,182,360,249,5,0,0,0,0,709,15,5,2,8,57,709,5,15,0,1,0,1,0,1,0,0,0,2,1,1,0,1,0,0,0,0,2,0,0,0,57
371759604031,536,162,239,134,1,0,0,0,0,460,10,1,8,6,51,460,0,10,1,2,4,0,0,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,51
371759604032,666,163,307,192,4,0,0,0,0,576,19,3,8,4,56,576,3,19,0,1,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,56
371759604033,1039,292,428,315,3,0,1,0,0,911,22,5,9,12,80,911,2,22,3,0,1,1,2,2,2,1,4,2,0,0,0,4,0,0,0,0,0,0,2,0,80
371759604041,1382,305,614,457,4,1,1,0,0,1248,20,9,3,19,83,1248,9,20,0,6,0,1,3,0,2,2,0,3,1,0,0,3,0,0,0,0,0,0,0,0,83
371759605011,304,60,127,113,1,3,0,0,0,280,2,2,3,2,15,280,2,2,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15
371759605012,696,127,299,265,3,1,1,0,0,649,13,2,3,3,26,649,2,13,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26
371759605013,470,75,237,154,4,0,0,0,0,434,7,3,1,4,21,434,3,7,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
371759605014,520,63,196,259,2,0,0,0,0,472,9,1,2,6,30,472,1,9,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
371759605021,519,58,200,258,3,0,0,0,0,496,4,0,0,1,18,496,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18
371759605022,837,127,378,326,5,1,0,0,0,775,14,10,0,6,32,775,9,14,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32
