GEOID20,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
40109107707,566,243,207,111,5,0,0,457,30,17,6,6,50
40109107801,1511,361,761,369,20,0,0,847,110,438,12,14,90
40109107804,1152,498,410,228,16,0,0,951,57,28,19,17,80
40109107805,1138,371,539,221,7,0,0,685,76,301,5,9,62
40109107806,1966,811,774,361,20,0,0,1483,97,241,23,17,105
40109107807,1475,582,602,279,12,0,0,1097,104,124,26,20,104
40109107808,866,353,330,172,11,0,0,672,55,65,16,13,45
40109107809,721,270,258,184,9,0,0,563,66,39,1,5,47
40109107810,1187,451,428,298,10,0,0,915,82,86,9,16,79
40109107900,897,46,729,118,4,0,0,96,22,752,11,6,10
40109108003,1480,242,906,319,13,0,0,516,56,809,13,18,68
40109108005,1408,294,888,224,2,0,0,505,59,786,5,6,47
40109108006,2069,831,845,375,18,0,0,1552,63,271,30,14,139
