FULLCODE,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
35009000306,1942,596,913,396,22,4,1,6,0,1278,483,36,15,13,117
35009000307,1688,307,1064,300,15,1,0,1,0,1274,259,17,20,18,100
35009000308,2241,455,1408,354,13,1,0,3,0,1632,359,21,43,28,158
35009000400,1412,489,452,434,17,3,0,9,0,622,669,24,18,5,74
35009000500,874,308,301,251,7,4,0,1,0,367,459,3,3,7,35
35009000601,673,103,452,106,6,0,0,1,0,533,77,0,5,3,55
35009000602,2002,349,1240,376,22,6,1,3,0,1492,321,13,20,14,142
35009000603,1663,379,906,349,14,2,0,6,0,1038,531,6,9,4,75
35009000900,225,51,74,82,15,1,0,1,0,105,39,57,4,0,20
35051962200,2242,818,843,535,21,4,0,10,0,1517,531,5,6,11,172
35051962300,2172,764,913,459,18,7,0,5,0,1572,405,8,16,10,161
35051962401,1718,430,971,295,9,4,0,4,0,1285,273,1,11,14,134
35051962402,1386,411,681,264,14,4,0,4,0,987,265,0,4,13,117
35027960200,1266,233,821,199,9,1,0,1,0,808,353,5,6,14,80
35027960300,2208,395,1388,389,24,3,0,2,0,1686,325,0,20,15,162
35027960401,1181,287,669,209,7,1,0,3,0,668,444,0,5,6,58
35027960402,766,175,447,130,7,2,0,2,0,627,68,1,10,3,57
35027960403,2045,437,1147,435,15,0,0,5,0,1375,516,1,11,8,134
35027960601,1136,278,576,259,16,2,0,4,0,826,191,1,4,17,97
35027960602,1283,330,660,264,16,2,0,5,0,935,230,0,11,12,95
35027960603,1479,334,856,271,9,2,0,1,0,1161,189,2,12,11,104
35027960800,1266,387,584,264,20,4,0,7,0,859,288,1,23,10,85
35043010503,1898,1119,414,333,11,6,1,9,0,604,1171,0,9,18,96
35043010601,3524,1706,1116,645,31,7,1,6,0,2366,769,5,42,38,304
35043010602,3625,1742,1163,675,27,7,2,1,0,2413,758,9,53,69,323
35043010702,5447,2133,2146,1065,62,15,0,6,0,3487,1323,35,53,72,477
35043010705,4130,1506,1639,910,42,9,2,12,0,2465,1220,30,31,43,341
35043010712,3274,1207,1190,792,47,15,1,9,0,1880,1072,14,36,46,226
35043010713,3271,1297,1081,800,48,13,1,19,0,1795,1174,14,17,50,221
35043010714,3118,1109,1273,689,23,5,3,7,0,1966,798,20,40,56,238
35043010715,2704,1012,1035,590,42,5,0,12,0,1675,728,18,29,27,227
35043010719,2865,1053,1140,619,29,7,1,9,0,1683,915,4,29,40,194
35043010721,2799,1129,903,692,40,10,0,10,0,1506,1023,23,25,20,202
35043010722,3337,1166,1298,797,45,3,0,8,0,1835,1170,21,26,52,233
35043010724,1254,534,425,272,12,6,1,1,0,656,460,4,8,20,106
35043010725,4932,1908,1778,1159,48,11,0,11,0,2517,1883,22,61,64,385
