FULLCODE,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
25009207200,1418,701,628,74,5,0,2,8,0,352,562,82,157,131,134
25009208101,3475,2108,987,323,21,2,2,30,0,2541,363,45,98,81,347
25009208102,2220,1323,656,211,7,2,2,17,0,1543,263,27,106,71,210
25009208200,3823,2405,1013,358,5,1,3,34,0,2972,283,22,111,77,358
25009208301,2194,1310,608,235,8,2,2,24,0,1638,159,10,79,57,251
25009208302,3572,2259,885,376,17,2,0,32,0,2720,306,22,100,82,342
25009208401,1890,1185,416,258,9,0,0,22,0,1437,158,1,45,71,178
25009208402,2201,1357,557,260,8,0,4,13,0,1602,176,17,111,85,210
25009209100,4924,3119,1001,752,16,1,1,26,0,3756,187,10,231,200,540
25009209200,4211,2644,785,739,8,1,5,24,0,3398,124,8,112,125,444
25009210100,5325,3491,1123,645,22,0,3,37,0,4267,273,9,82,121,573
25009210200,4296,2807,976,465,14,0,2,27,0,3403,200,11,73,115,494
25009210301,3628,2148,1072,378,12,1,1,14,0,2760,211,13,47,96,501
25009210302,3387,2109,901,324,14,2,0,32,0,2354,356,79,65,91,442
25009210401,1862,1120,540,187,4,3,2,4,0,1192,258,47,39,63,263
25009210402,2733,1715,748,243,8,0,4,12,0,2052,258,5,47,77,294
25009210500,5163,3304,1297,496,23,1,7,32,0,3921,379,27,85,140,611
25009210600,2920,1828,819,236,13,1,3,18,0,2099,367,12,30,88,324
25009210700,2376,1386,791,161,13,2,1,19,0,1352,660,25,36,54,249
25009210800,2504,1401,905,164,11,1,1,18,0,1273,724,30,41,78,358
25009210900,2624,1593,796,204,11,2,0,17,0,1624,491,16,25,59,409
25009211100,2754,1839,580,300,15,1,2,16,0,2211,170,12,36,49,276
25009211201,1871,1209,443,192,9,3,2,13,0,1527,89,7,24,47,177
25009211202,2980,1920,657,352,16,3,1,29,0,2453,124,7,38,79,279
25009211300,5226,3526,978,663,22,1,7,27,0,4334,204,8,89,84,507
25009211401,2700,1698,622,322,10,0,1,40,0,2042,159,31,47,82,339
25009211402,4703,3131,992,524,13,3,3,30,0,3891,214,17,48,76,457
25009212101,2962,1910,518,502,8,0,3,20,0,2370,104,3,81,80,324
25009212102,3662,2351,723,542,13,2,2,25,0,2933,114,8,101,135,371
25009213100,5937,3815,1027,1027,15,4,5,37,0,4870,163,4,123,153,624
25009214100,4913,3174,953,748,15,0,0,18,0,4160,138,8,58,97,452
25009215101,3314,2103,689,494,12,0,2,10,0,2799,62,1,105,44,303
25009215102,2170,1387,499,258,9,4,1,11,0,1837,55,2,29,37,210
25009216100,2889,1811,612,442,8,2,4,7,0,2461,65,11,51,47,254
25009217101,3227,2084,774,330,6,2,2,27,0,2589,151,10,66,72,339
